127.0.0.1 - - [15/Feb/2019:09:31:51 -0500] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Feb/2019:09:32:34 -0500] "GET /eZoo/ HTTP/1.1" 200 8340
0:0:0:0:0:0:0:1 - - [15/Feb/2019:09:32:34 -0500] "GET /eZoo/resources/libraries/css/bootstrap.css HTTP/1.1" 200 161071
0:0:0:0:0:0:0:1 - - [15/Feb/2019:09:32:34 -0500] "GET /eZoo/resources/libraries/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [15/Feb/2019:09:32:34 -0500] "GET /eZoo/resources/libraries/css/freelancer.css HTTP/1.1" 200 9701
0:0:0:0:0:0:0:1 - - [15/Feb/2019:09:32:34 -0500] "GET /eZoo/resources/libraries/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21987
0:0:0:0:0:0:0:1 - - [15/Feb/2019:09:32:34 -0500] "GET /eZoo/resources/libraries/css/half-slider.css HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [15/Feb/2019:09:32:34 -0500] "GET /eZoo/resources/styles/custom.css HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [15/Feb/2019:09:32:34 -0500] "GET /eZoo/resources/libraries/js/cbpAnimatedHeader.js HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [15/Feb/2019:09:32:34 -0500] "GET /eZoo/resources/libraries/js/classie.js HTTP/1.1" 200 1915
0:0:0:0:0:0:0:1 - - [15/Feb/2019:09:32:34 -0500] "GET /eZoo/resources/libraries/js/freelancer.js HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [15/Feb/2019:09:32:34 -0500] "GET /eZoo/resources/libraries/js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [15/Feb/2019:09:32:34 -0500] "GET /eZoo/resources/imgs/ezoo1.jpg HTTP/1.1" 200 556813
0:0:0:0:0:0:0:1 - - [15/Feb/2019:09:32:34 -0500] "GET /eZoo/resources/imgs/ezoo3.jpg HTTP/1.1" 200 550200
0:0:0:0:0:0:0:1 - - [15/Feb/2019:09:32:34 -0500] "GET /eZoo/resources/imgs/ezoo2.jpg HTTP/1.1" 200 594367
0:0:0:0:0:0:0:1 - - [15/Feb/2019:09:32:35 -0500] "GET /eZoo/resources/libraries/js/jqBootstrapValidation.js HTTP/1.1" 200 37092
0:0:0:0:0:0:0:1 - - [15/Feb/2019:09:32:35 -0500] "GET /eZoo/resources/scripts/custom.js HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [15/Feb/2019:09:32:35 -0500] "GET /eZoo/resources/libraries/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
